TLD	Registration Price	Renewal Price	Minimum Term
.chat	$9.99 per year	$33.99 per year	1 Year
.cheap	$6.99 per year	$33.99 per year	1 Year
.christmas	$8.99 per year	$41.99 per year	1 Year
.church	$26.99 per year	$33.99 per year	1 Year
.ci	$65.99 per year	$65.99 per year	1 Year
.city	$6.99 per year	$21.99 per year	1 Year
.cl	$65.99 per year	$65.99 per year	1 Year
.claims	$13.99 per year	$58.99 per year	1 Year
.cleaning	$45.99 per year	$45.99 per year	1 Year
.click	$3.99 per year	$9.99 per year	1 Year
.clinic	$58.99 per year	$58.99 per year	1 Year
.clothing	$33.99 per year	$33.99 per year	1 Year
.cloud	$24.99 per year	$24.99 per year	1 Year
.club	$14.99 per year	$15.99 per year	1 Year
.cm	$129.99 per year	$129.99 per year	1 Year
.cn	$35.00 per year	$35.00 per year	1 Year
.co	$10.99 per year	$29.99 per year	1 Year
.coach	$9.99 per year	$54.99 per year	1 Year
.codes	$5.99 per year	$55.99 per year	1 Year
.coffee	$8.99 per year	$33.99 per year	1 Year
.college	$19.99 per year	$65.99 per year	1 Year
.com	$8.99 per year	$13.99 per year	1 Year
.community	$26.99 per year	$33.99 per year	1 Year
.company	$6.99 per year	$21.99 per year	1 Year
.computer	$13.99 per year	$33.99 per year	1 Year
.condos	$58.99 per year	$58.99 per year	1 Year
.construction	$33.99 per year	$33.99 per year	1 Year
.consulting	$13.99 per year	$33.99 per year	1 Year
.contractors	$26.99 per year	$33.99 per year	1 Year
.cooking	$33.99 per year	$33.99 per year	1 Year
.cool	$6.99 per year	$33.99 per year	1 Year
.coop	$269.99 per year	$269.99 per year	1 Year
.coupons	$13.99 per year	$54.99 per year	1 Year
.courses	$13.99 per year	$39.99 per year	1 Year
.credit	$8.99 per year	$108.99 per year	1 Year
.creditcard	$159.99 per year	$159.99 per year	1 Year
.cricket	$13.99 per year	$15.99 per year	1 Year
.cruises	$58.99 per year	$58.99 per year	1 Year
.cymru	$24.99 per year	$24.99 per year	1 Year
.cz	$24.99 per year	$24.99 per year	1 Year
.dance	$9.99 per year	$24.99 per year	1 Year
.date	$2.99 per year	$4.99 per year	1 Year
.dating	$19.99 per year	$58.99 per year	1 Year
.deals	$33.99 per year	$33.99 per year	1 Year
.degree	$39.99 per year	$44.99 per year	1 Year
.delivery	$6.99 per year	$54.99 per year	1 Year
.democrat	$26.99 per year	$33.99 per year	1 Year
.dental	$58.99 per year	$58.99 per year	1 Year
.dentist	$39.99 per year	$39.99 per year	1 Year
.desi	$19.99 per year	$19.99 per year	1 Year
.design	$13.99 per year	$39.99 per year	1 Year
.dev	$14.99 per year	$21.99 per year	1 Year
.diamonds	$55.99 per year	$55.99 per year	1 Year
.diet	$89.99 per year	$130.99 per year	1 Year
.digital	$2.99 per year	$33.99 per year	1 Year
.direct	$13.99 per year	$33.99 per year	1 Year
.directory	$3.99 per year	$21.99 per year	1 Year
.discount	$33.99 per year	$33.99 per year	1 Year
.dog	$6.99 per year	$48.99 per year	1 Year
.domains	$33.99 per year	$33.99 per year	1 Year
.download	$2.99 per year	$4.99 per year	1 Year
.earth	$24.99 per year	$24.99 per year	1 Year
.eco	$64.99 per year	$64.99 per year	1 Year
